date,ip,method,url,status_code,response_size,referer,user_agent,response_time
23/Jul/2023:13:05:10 ,47.33.139.134,"POST","/cart",303,1995,"http://example.com/products/item2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",631
23/Jul/2023:13:05:10 ,76.213.162.151,"GET","/about",200,1424,"http://example.com/cart","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",156
23/Jul/2023:13:05:10 ,77.193.163.156,"POST","/cart",200,999,"http://example.com/blog/post3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",684
23/Jul/2023:13:05:11 ,125.63.217.146,"POST","/cart",303,2570,"http://example.com/login","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",698
23/Jul/2023:13:05:11 ,199.118.224.5,"POST","/products/item2",200,972,"http://example.com/profile","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1",300
23/Jul/2023:13:05:11 ,45.63.110.7,"GET","/products",303,2168,"http://example.com/blog","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1",286
23/Jul/2023:13:05:11 ,85.135.66.29,"POST","/profile",303,1927,"http://example.com/login","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",643
23/Jul/2023:13:05:12 ,151.150.139.184,"GET","/checkout",303,2489,"http://example.com/contact","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1",648
23/Jul/2023:13:05:12 ,196.25.237.59,"POST","/blog/post2",200,1552,"http://example.com/blog/post1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",429
23/Jul/2023:13:05:12 ,49.163.23.184,"GET","/products/item2",200,1610,"http://example.com/products/item3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",283
23/Jul/2023:13:05:12 ,87.177.34.191,"POST","/services",200,1145,"http://example.com/services/service2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",376
23/Jul/2023:13:05:13 ,195.188.66.78,"GET","/search",200,1871,"http://example.com/blog/post1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",673
23/Jul/2023:13:05:13 ,85.135.66.29,"POST","/services",200,2575,"http://example.com/login","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",347
23/Jul/2023:13:05:14 ,177.147.65.11,"GET","/blog/post2",200,1839,"http://example.com/services","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",400
23/Jul/2023:13:05:14 ,77.193.163.156,"POST","/products",200,1018,"http://example.com/services","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",271
23/Jul/2023:13:05:14 ,90.4.202.112,"POST","/search",303,1546,"http://example.com/blog/post2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",9256
23/Jul/2023:13:05:15 ,137.245.1.181,"POST","/products/item2",303,1637,"http://example.com/services","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",231
23/Jul/2023:13:05:15 ,177.147.65.11,"GET","/contact",303,2010,"http://example.com/services/service1","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1",143
23/Jul/2023:13:05:16 ,183.168.19.102,"POST","/blog/post2",303,2978,"http://example.com/profile","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",468
23/Jul/2023:13:05:16 ,94.55.155.226,"GET","/services/service1",303,1978,"http://example.com/about","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",326
23/Jul/2023:13:05:17 ,199.118.224.5,"POST","/search",200,2724,"http://example.com/blog/post1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",8354
23/Jul/2023:13:05:17 ,27.170.238.204,"POST","/profile",200,2919,"http://example.com/profile","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1",644
23/Jul/2023:13:05:17 ,63.246.167.64,"GET","/blog/post3",200,2151,"http://example.com/profile","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",474
23/Jul/2023:13:05:17 ,63.246.167.64,"POST","/signup",303,1066,"http://example.com/blog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",588
